cycle	lane	yield
1	1	0.7880262053761152
1	2	0.7548342635537865
1	3	0.743425527660001
1	4	0.8123304327225493
1	5	0.6347648353673898
1	6	0.7155229661195648
1	7	0.8503928701268383
1	8	0.7568209461562035
1	9	0.7903507280483374
1	10	0.6370822511702673
1	11	0.6543454462740543
1	12	0.7778620902525397
1	13	0.9362046584316698
1	14	0.7377002170365337
1	15	0.7440014064356097
1	16	0.8554446809085825
1	17	0.5607418540490582
1	18	0.7392339862976195
1	19	0.5381776567424873
1	20	0.7350209906150881
2	1	0.7177044790921809
2	2	0.6172446802966167
2	3	0.711873430720401
2	4	0.7707500497364291
2	5	0.8342496087796565
2	6	0.7361706195672502
2	7	0.7903264664099835
2	8	0.839718011179656
2	9	0.48701354936605307
2	10	0.7105200821110125
2	11	0.6671418611976805
2	12	0.778989572024184
2	13	0.7474718995236629
2	14	0.767793951777475
2	15	0.7566874628080017
2	16	0.8252278946383764
2	17	0.5998148206018874
2	18	0.6923735421442797
2	19	0.5343847840068507
2	20	0.6466829909301921
3	1	0.7537784645669775
3	2	0.6029451870838346
3	3	0.7525601494205881
3	4	0.7848925070932232
3	5	0.790078841346422
3	6	0.8665977191373703
3	7	0.701360608790019
3	8	0.7311779594725288
3	9	0.7314861632181585
3	10	0.7935912117087741
3	11	0.7639037409780137
3	12	0.6151990907045047
3	13	0.8394390190082184
3	14	0.7058961574497491
3	15	0.802094626349322
3	16	0.7236503866886326
3	17	0.752933182409975
3	18	0.7357914668414454
3	19	0.5214857265482422
3	20	0.7003726301973896
