cycle_1_lane	cycle_2_lane	cycle_3_lane	readcount_000	readcount_001	readcount_010	readcount_011	readcount_100	readcount_101	readcount_110	readcount_111
1	1	1	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
1	1	2	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
1	1	3	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
1	1	4	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
1	1	5	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
1	1	6	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
1	1	7	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
1	1	8	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
1	1	9	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
1	1	10	0.0000	0.0000	0.0000	0.0000	0.0000	29.7966	0.0000	5.2034
1	1	11	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
1	1	12	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
1	1	13	0.0000	23.2976	0.0000	0.0000	0.0000	0.0000	0.0000	3.7024
1	1	14	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
1	1	15	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
1	1	16	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
1	1	17	0.0000	0.0000	0.0000	255.9309	0.0000	0.0000	0.0000	11.0691
1	1	18	0.0000	0.0000	0.0000	3.9554	0.0000	0.0000	0.0000	4.0446
1	1	19	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
1	1	20	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
1	2	1	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
1	2	2	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000
1	2	3	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
1	2	4	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
1	2	5	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
1	2	6	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
1	2	7	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
1	2	8	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	16.0000
1	2	9	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
1	2	10	0.0000	0.0000	0.0000	0.0000	0.0000	41.3226	0.0000	5.6774
1	2	11	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
1	2	12	0.0000	0.0000	0.0000	6.2231	0.0000	0.0000	0.0000	4.7769
1	2	13	0.0000	32.3860	0.0000	285.5777	0.0000	0.0000	0.0000	5.0363
1	2	14	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
1	2	15	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
1	2	16	0.0000	0.0000	0.0000	2.3986	0.0000	0.0000	0.0000	0.6014
1	2	17	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
1	2	18	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
1	2	19	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000
1	2	20	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
1	3	1	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
1	3	2	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000
1	3	3	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
1	3	4	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
1	3	5	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
1	3	6	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
1	3	7	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
1	3	8	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
