cycle_1_lane	cycle_2_lane	cycle_3_lane	fitness_mode	fitness_mean	fitness_minimum_stdev
1	1	1	0.0	0.14802525251270096	0.14802525251270096
1	1	2	0.0	0.18867096824395743	0.18867096824395743
1	1	3	0.0	0.1328603470647669	0.1328603470647669
1	1	4	0.0	0.12436963667008487	0.12436963667008488
1	1	5	0.0	0.13738660339296055	0.13738660339296055
1	1	6	0.0	0.14820061058470527	0.14820061058470527
1	1	7	0.0	0.1404727084531602	0.1404727084531602
1	1	8	0.0	0.1573818794740436	0.1573818794740436
1	1	9	0.0	0.15161760772449112	0.15161760772449112
1	1	10	0.19290964671908917	0.782609407071245	0.5882673034258834
1	1	11	0.0	0.12730248595951196	0.12730248595951196
1	1	12	0.0	0.19855748285919214	0.19855748285919214
1	1	13	0.0	0.5068151616423355	0.4085050813712435
1	1	14	0.0	0.25467100328787473	0.25467100328787473
1	1	15	0.0	0.13002711596005487	0.13002711596005484
1	1	16	0.0	0.15750335529631804	0.15750335529631804
1	1	17	0.0	1.5732999920958335	1.2635472427854435
1	1	18	0.4758463575124393	0.6465376855671382	0.3953951385378413
1	1	19	0.0	0.1719605077337441	0.17196050773374408
1	1	20	0.0	0.15223909054727772	0.15223909054727772
1	2	1	0.0	0.16903122775027637	0.16903122775027637
1	2	2	0.213996122648511	0.427992245297022	0.3026362189447805
1	2	3	0.0	0.1520984891079613	0.1520984891079613
1	2	4	0.0	0.1425804803767197	0.1425804803767197
1	2	5	0.0	0.15716136056605107	0.15716136056605107
1	2	6	0.0	0.16922652772780514	0.16922652772780514
1	2	7	0.0	0.16060895966319852	0.16060895966319852
1	2	8	2.8709758247827355	3.050411813831654	0.7398335358858601
1	2	9	0.0	0.1730298336678231	0.1730298336678231
1	2	10	0.11987656239706368	0.9707101058110146	0.7422825257056151
1	2	11	0.0	0.1458712317057023	0.1458712317057023
1	2	12	0.905189832009045	1.2036603325546105	0.731148226801398
1	2	13	0.0	0.7818646461984429	0.7360810068723855
1	2	14	0.0	0.2857352654472147	0.2857352654472147
1	2	15	0.0	0.14892546480639446	0.14892546480639446
1	2	16	0.0	0.27499347475484703	0.2581210845741425
1	2	17	0.0	0.1526857995794237	0.1526857995794237
1	2	18	0.0	0.15842454477698087	0.15842454477698087
1	2	19	0.19558334762428875	0.3911666952485775	0.2765966227846008
1	2	20	0.0	0.17372111328004608	0.17372111328004605
1	3	1	0.0	0.2228582577120816	0.2228582577120816
1	3	2	0.2773626012274737	0.5547252024549474	0.3922499523509738
1	3	3	0.0	0.20184313977162313	0.2018431397716231
1	3	4	0.0	0.18990943192296833	0.18990943192296833
1	3	5	0.0	0.20815535128710388	0.20815535128710388
1	3	6	0.0	0.22309905245935782	0.22309905245935782
1	3	7	0.0	0.21243963360827145	0.21243963360827145
1	3	8	0.0	0.23563679699869175	0.23563679699869175
1	3	9	0.8280603321765516	1.0558839934661537	0.5092995966717663
1	3	10	0.0	0.49852823705217997	0.4557587200918213
1	3	11	1.458528964438849	1.67907588813109	0.8448171603924779
1	3	12	0.0	0.2902340903488221	0.29023409034882214
1	3	13	0.0	0.6601984362992761	0.5353472854389449
1	3	14	0.0	0.3605988305824875	0.3605988305824875
1	3	15	0.0	0.19787454097720938	0.19787454097720938
1	3	16	0.0	0.23580177121640974	0.23580177121640974
1	3	17	0.0	0.202576641776816	0.202576641776816
1	3	18	0.0	0.20972641173756262	0.20972641173756265
1	3	19	0.0	1.5410868161111004	1.2517706211367048
1	3	20	0.0	0.22863070161653465	0.22863070161653468
1	4	1	0.0	0.14669945090560976	0.14669945090560976
1	4	2	0.0	0.18706105039402735	0.18706105039402735
1	4	3	0.0	0.1316493831409434	0.13164938314094343
1	4	4	0.0	0.12322506446011074	0.12322506446011074
1	4	5	0.0	0.13614086163113717	0.13614086163113714
1	4	6	0.2937470182551749	0.4406205273827623	0.2543923800949128
1	4	7	0.0	0.13920349942018034	0.13920349942018034
1	4	8	0.0	0.15598761792421184	0.15598761792421184
1	4	9	0.0	0.15026530570690133	0.15026530570690133
1	4	10	0.4488923530368143	0.838938622135589	0.5859201869521344
1	4	11	0.0	0.12613481083214267	0.12613481083214267
1	4	12	0.0	0.19688367571369084	0.19688367571369084
1	4	13	143.79899959243477	143.9119908064557	4.066114089822806
1	4	14	0.0	0.25267330129613913	0.25267330129613913
1	4	15	0.0	0.12883813886207407	0.12883813886207407
1	4	16	0.3320758895201005	0.5122224384910248	0.3365835484915431
1	4	17	0.0	0.13217004027897006	0.13217004027897006
1	4	18	0.0	0.1372626087527549	0.1372626087527549
1	4	19	0.0	0.170463220677033	0.170463220677033
1	4	20	0.0	0.1508822312482291	0.1508822312482291
1	5	1	0.0	0.12197415930209184	0.12197415930209184
1	5	2	0.0	0.15678296736305106	0.15678296736305106
1	5	3	0.0	0.10913625996429561	0.1091362599642956
1	5	4	0.0	0.10198337440884307	0.10198337440884307
1	5	5	0.0	0.11295957463306822	0.11295957463306822
1	5	6	0.0	0.12212307966701805	0.12212307966701805
1	5	7	0.11557049076725812	0.23114098153451623	0.16344135545317098
1	5	8	0.0	0.1299352417459256	0.12993524174592558
1	5	9	0.0	0.12502707116163167	0.1250270711616317
1	5	10	0.5890508418586826	0.801904078389637	0.5036511193093964
1	5	11	0.0	0.10445128960727677	0.10445128960727679
1	5	12	0.0	0.16533904533685706	0.1653390453368571
1	5	13	0.16227208609957788	0.4442794347830128	0.3285969048555715
1	5	14	0.0	0.21457830973981765	0.21457830973981765
1	5	15	0.0	0.10674666323076334	0.10674666323076334
1	5	16	0.0	0.13003880216077648	0.13003880216077648
1	5	17	0.0	0.1095791161990567	0.10957911619905672
1	5	18	0.0	0.1139155045064278	0.1139155045064278
1	5	19	0.0	0.14240109643431378	0.14240109643431378
1	5	20	0.0	0.12555568961112998	0.12555568961112998
1	6	1	0.0	0.15618830171552114	0.15618830171552114
1	6	2	0.0	0.19855310569358703	0.19855310569358703
1	6	3	0.0	0.14032484870775122	0.14032484870775122
1	6	4	0.0	0.13142940661263733	0.13142940661263733
1	6	5	0.0	0.145062862593855	0.145062862593855
1	6	6	0.0	0.15637155524337662	0.15637155524337665
1	6	7	0.0	0.14829175626200863	0.14829175626200863
1	6	8	0.0	0.16596040128285403	0.16596040128285405
1	6	9	0.0	0.15994157175668555	0.15994157175668555
1	6	10	0.007214979619552864	0.6937310883751495	0.5435044730436626
1	6	11	0.0	0.13450316462171472	0.13450316462171472
1	6	12	74.75905289067065	74.96787706079165	3.956653220457264
1	6	13	0.0	0.45842367131776296	0.4033892249778154
1	6	14	0.0	0.26687296881148787	0.26687296881148787
1	6	15	0.0	0.13735765254464738	0.13735765254464738
1	6	16	0.0	0.16608719334343264	0.16608719334343267
1	6	17	0.0	0.14087425000174716	0.14087425000174716
1	6	18	0.0	0.146245678092617	0.146245678092617
1	6	19	0.0	0.18116282771181233	0.18116282771181233
1	6	20	0.16059071603023978	0.32118143206047955	0.22710956860117149
1	7	1	0.0	0.15013842695704394	0.15013842695704394
1	7	2	0.0	0.19123414897878818	0.19123414897878815
1	7	3	0.0	0.13479128189287432	0.1347912818928743
1	7	4	0.0	0.12619512967484195	0.12619512967484195
1	7	5	0.0	0.13937274782536394	0.13937274782536394
1	7	6	0.3006316934499936	0.4509475401749903	0.26035468371043036
1	7	7	0.0	0.14249609756087592	0.14249609756087592
1	7	8	0.0	0.1596036042340665	0.1596036042340665
1	7	9	0.0	0.15377280962847859	0.15377280962847859
1	7	10	1.1775619655299239	1.3624115411946662	0.7258906217603663
1	7	11	0.0	0.12916467714962504	0.12916467714962504
1	7	12	0.20965903401000624	0.49135127448736576	0.37230865804269514
1	7	13	4.173914368575566	4.289661547186739	0.8661725715134709
1	7	14	0.0	0.2578458660468207	0.25784586604682075
1	7	15	0.0	0.1319231383289079	0.1319231383289079
1	7	16	0.0	0.15972646983738442	0.15972646983738445
1	7	17	0.0	0.13532242843320852	0.13532242843320852
1	7	18	0.0	0.1405167928224975	0.1405167928224975
1	7	19	35.5664724406317	35.740817893772444	2.496247001217788
1	7	20	0.0	0.15440151887305176	0.15440151887305176
1	8	1	0.0	0.1543457996758058	0.1543457996758058
1	8	2	0.0	0.1963271184926454	0.19632711849264542
1	8	3	0.0	0.13863873606724292	0.13863873606724292
1	8	4	0.12983403704663865	0.2596680740932773	0.18361305604900724
1	8	5	0.0	0.1433293108250137	0.1433293108250137
1	8	6	0.0	0.15452728730924553	0.15452728730924553
1	8	7	0.0	0.1465262313471283	0.1465262313471283
1	8	8	0.0	0.16402502945401665	0.16402502945401665
1	8	9	0.0	0.15806308743675151	0.15806308743675151
1	8	10	0.05494782416489574	0.5491919638898484	0.42977462810775396
1	8	11	0.0	0.13287619187760805	0.13287619187760805
1	8	12	0.0	0.20651270463760202	0.20651270463760202
1	8	13	0.12013457228736457	0.47282600237076666	0.36090509882610444
1	8	14	0.0	0.26413347516102076	0.26413347516102076
1	8	15	0.0	0.1357015651524694	0.1357015651524694
1	8	16	0.0	0.16415063392016582	0.16415063392016582
1	8	17	0.0	0.13918260466536372	0.13918260466536372
1	8	18	0.0	0.1445003803556184	0.1445003803556184
1	8	19	0.0	0.179088237935219	0.17908823793521902
1	8	20	0.0	0.15870604799154972	0.15870604799154972
1	9	1	0.0	0.21750716508618875	0.21750716508618873
1	9	2	0.0	0.2711594294289924	0.27115942942899246
1	9	3	0.0	0.19686881829436367	0.19686881829436367
1	9	4	0.0	0.18516098357044256	0.18516098357044256
1	9	5	0.0	0.20306504606562864	0.2030650460656286
1	9	6	0.0	0.217743798031835	0.217743798031835
1	9	7	0.0	0.20727198328002266	0.20727198328002266
1	9	8	0.0	0.23006971159722225	0.23006971159722225
1	9	9	0.0	0.2223456787711283	0.2223456787711283
1	9	10	0.0	0.8034479713506393	0.7140710696029547
1	9	11	0.0	0.18921761383475547	0.18921761383475547
1	9	12	0.0	0.2838561262286508	0.2838561262286508
1	9	13	0.2513320304995794	1.2055803389869713	0.9070077056169823
1	9	14	0.0	0.3534445918058472	0.3534445918058472
