cycle_1_lane	cycle_2_lane	cycle_3_lane	fitness	clean_reads
1	1	1	0.0000	0.0000
1	1	2	0.0000	0.0000
1	1	3	0.0000	0.0000
1	1	4	0.0000	0.0000
1	1	5	0.0000	0.0000
1	1	6	0.0000	0.0000
1	1	7	0.0000	0.0000
1	1	8	0.0000	0.0000
1	1	9	0.0000	0.0000
1	1	10	0.8703	3.9660
1	1	11	0.0000	0.0000
1	1	12	0.0000	0.0000
1	1	13	0.0000	0.0000
1	1	14	0.0000	0.0000
1	1	15	0.0000	0.0000
1	1	16	0.0248	0.1288
1	1	17	0.0000	0.0000
1	1	18	1.8653	8.5491
1	1	19	0.0000	0.0000
1	1	20	0.0000	0.0000
1	2	1	0.0000	0.0000
1	2	2	0.0000	0.0000
1	2	3	0.0000	0.0000
1	2	4	0.0000	0.0000
1	2	5	118.1153	543.7980
1	2	6	0.0000	0.0000
1	2	7	0.0000	0.0000
1	2	8	0.0000	0.0000
1	2	9	0.0000	0.0000
1	2	10	0.0000	0.0000
1	2	11	0.0000	0.0000
1	2	12	0.0000	0.0000
1	2	13	0.0000	0.0000
1	2	14	0.0000	0.0000
1	2	15	0.0000	0.0000
1	2	16	0.0000	0.0000
1	2	17	0.0000	0.0000
1	2	18	0.0000	0.0000
1	2	19	0.0000	0.0000
1	2	20	0.0000	0.0000
1	3	1	0.0000	0.0000
1	3	2	0.1962	0.7331
1	3	3	0.3047	1.6222
1	3	4	0.0000	0.0000
1	3	5	0.0000	0.0000
1	3	6	0.6566	2.0761
1	3	7	0.0000	0.0000
1	3	8	0.6752	3.8468
1	3	9	0.0000	0.0000
1	3	10	0.0000	0.0000
1	3	11	0.0000	0.0000
1	3	12	0.0000	0.0000
1	3	13	0.0000	0.0000
1	3	14	0.0202	0.0673
1	3	15	0.0000	0.0000
1	3	16	6.7067	42.5090
1	3	17	0.0000	0.0000
1	3	18	0.0000	0.0000
1	3	19	0.0000	0.0000
1	3	20	0.0000	0.0000
1	4	1	0.0000	0.0000
1	4	2	0.0000	0.0000
1	4	3	0.0000	0.0000
1	4	4	0.1055	0.6771
1	4	5	1.4298	7.0953
1	4	6	0.1484	0.4266
1	4	7	0.0000	0.0000
1	4	8	0.0000	0.0000
1	4	9	0.0000	0.0000
1	4	10	0.0000	0.0000
1	4	11	0.0000	0.0000
1	4	12	0.0000	0.0000
1	4	13	1.3264	4.8520
1	4	14	1.1319	3.4111
1	4	15	0.0000	0.0000
1	4	16	0.8675	4.8832
1	4	17	0.0000	0.0000
1	4	18	0.0000	0.0000
1	4	19	0.3604	1.3891
1	4	20	0.0000	0.0000
1	5	1	0.0000	0.0000
1	5	2	0.1873	0.7274
1	5	3	0.0000	0.0000
1	5	4	0.0000	0.0000
1	5	5	0.7643	4.4456
1	5	6	0.0000	0.0000
1	5	7	0.0000	0.0000
1	5	8	1.3459	8.0089
1	5	9	0.0000	0.0000
1	5	10	0.1120	0.6458
1	5	11	0.0000	0.0000
1	5	12	0.0000	0.0000
1	5	13	0.0000	0.0000
1	5	14	0.0000	0.0000
1	5	15	0.0000	0.0000
1	5	16	0.0000	0.0000
1	5	17	0.0000	0.0000
1	5	18	0.0000	0.0000
1	5	19	0.0000	0.0000
1	5	20	0.0000	0.0000
1	6	1	0.0000	0.0000
1	6	2	0.0000	0.0000
1	6	3	0.0000	0.0000
1	6	4	0.9873	7.1245
1	6	5	0.5660	3.1386
1	6	6	0.1060	0.3339
1	6	7	0.5286	2.2537
1	6	8	0.0000	0.0000
1	6	9	0.0000	0.0000
1	6	10	0.0000	0.0000
1	6	11	0.0000	0.0000
1	6	12	0.8160	3.4626
1	6	13	0.9854	3.9900
1	6	14	0.0000	0.0000
1	6	15	0.2111	1.0489
1	6	16	0.1091	0.6882
1	6	17	0.0000	0.0000
1	6	18	0.0000	0.0000
1	6	19	2.2977	9.8222
1	6	20	0.0000	0.0000
1	7	1	0.0000	0.0000
1	7	2	0.0000	0.0000
1	7	3	0.0000	0.0000
1	7	4	0.0000	0.0000
1	7	5	0.0000	0.0000
1	7	6	0.0000	0.0000
1	7	7	0.0000	0.0000
1	7	8	1.1688	6.2904
1	7	9	0.0000	0.0000
1	7	10	1.0231	5.3414
1	7	11	0.0000	0.0000
1	7	12	0.0000	0.0000
1	7	13	0.0000	0.0000
1	7	14	0.0000	0.0000
1	7	15	0.0000	0.0000
1	7	16	0.0000	0.0000
1	7	17	0.0000	0.0000
1	7	18	1.0840	5.6933
1	7	19	0.0000	0.0000
1	7	20	0.0000	0.0000
1	8	1	0.0000	0.0000
1	8	2	0.0000	0.0000
1	8	3	0.0000	0.0000
1	8	4	0.0000	0.0000
1	8	5	0.0000	0.0000
1	8	6	0.0000	0.0000
1	8	7	0.0000	0.0000
1	8	8	0.0000	0.0000
1	8	9	0.0000	0.0000
1	8	10	0.0000	0.0000
1	8	11	0.0000	0.0000
1	8	12	0.0000	0.0000
1	8	13	0.0000	0.0000
1	8	14	0.0000	0.0000
1	8	15	0.0000	0.0000
1	8	16	0.0000	0.0000
1	8	17	0.0000	0.0000
1	8	18	0.0000	0.0000
1	8	19	0.0000	0.0000
1	8	20	0.0000	0.0000
1	9	1	0.0000	0.0000
1	9	2	0.0000	0.0000
1	9	3	0.0000	0.0000
1	9	4	0.0000	0.0000
1	9	5	0.5879	3.0386
1	9	6	0.0000	0.0000
1	9	7	0.0000	0.0000
1	9	8	0.2978	1.5737
1	9	9	0.0000	0.0000
1	9	10	0.0000	0.0000
1	9	11	0.0000	0.0000
1	9	12	0.0000	0.0000
1	9	13	0.0000	0.0000
1	9	14	0.0000	0.0000
1	9	15	0.0000	0.0000
1	9	16	0.4190	2.4591
1	9	17	0.0000	0.0000
1	9	18	0.0000	0.0000
1	9	19	0.0000	0.0000
1	9	20	0.0000	0.0000
1	10	1	0.0000	0.0000
1	10	2	0.0000	0.0000
1	10	3	1.0709	6.9196
1	10	4	0.0000	0.0000
1	10	5	0.0000	0.0000
1	10	6	0.0000	0.0000
1	10	7	0.4777	2.4572
1	10	8	0.0000	0.0000
1	10	9	0.0000	0.0000
