cycle_1_lane	cycle_2_lane	cycle_3_lane	fraction_of_000	fraction_of_001	fraction_of_010	fraction_of_011	fraction_of_100	fraction_of_101	fraction_of_110	fraction_of_111
1	1	1	0.0147	0.0451	0.0375	0.1147	0.0548	0.1677	0.1393	0.4263
1	1	2	0.0238	0.0361	0.0604	0.0917	0.0883	0.1341	0.2246	0.3410
1	1	3	0.0148	0.0450	0.0376	0.1145	0.0550	0.1674	0.1399	0.4256
1	1	4	0.0129	0.0470	0.0327	0.1194	0.0479	0.1746	0.1217	0.4439
1	1	5	0.0126	0.0473	0.0319	0.1202	0.0467	0.1758	0.1187	0.4468
1	1	6	0.0080	0.0519	0.0203	0.1318	0.0297	0.1928	0.0754	0.4901
1	1	7	0.0179	0.0420	0.0454	0.1067	0.0664	0.1560	0.1689	0.3967
1	1	8	0.0161	0.0438	0.0409	0.1112	0.0598	0.1627	0.1520	0.4135
1	1	9	0.0161	0.0438	0.0409	0.1113	0.0597	0.1627	0.1519	0.4137
1	1	10	0.0124	0.0475	0.0314	0.1207	0.0459	0.1765	0.1167	0.4488
1	1	11	0.0141	0.0457	0.0359	0.1162	0.0525	0.1699	0.1335	0.4320
1	1	12	0.0230	0.0368	0.0585	0.0936	0.0856	0.1369	0.2176	0.3479
1	1	13	0.0096	0.0502	0.0244	0.1277	0.0357	0.1867	0.0908	0.4748
1	1	14	0.0176	0.0422	0.0447	0.1074	0.0654	0.1570	0.1663	0.3992
1	1	15	0.0118	0.0480	0.0301	0.1220	0.0440	0.1784	0.1119	0.4536
1	1	16	0.0165	0.0433	0.0420	0.1101	0.0615	0.1610	0.1563	0.4093
1	1	17	0.0148	0.0451	0.0376	0.1145	0.0550	0.1675	0.1397	0.4258
1	1	18	0.0158	0.0440	0.0402	0.1119	0.0588	0.1637	0.1494	0.4161
1	1	19	0.0286	0.0312	0.0728	0.0793	0.1064	0.1160	0.2706	0.2949
1	1	20	0.0179	0.0419	0.0456	0.1066	0.0667	0.1558	0.1695	0.3961
1	2	1	0.0200	0.0612	0.0322	0.0986	0.0743	0.2274	0.1198	0.3666
1	2	2	0.0322	0.0489	0.0520	0.0789	0.1198	0.1819	0.1931	0.2933
1	2	3	0.0201	0.0611	0.0324	0.0985	0.0746	0.2270	0.1204	0.3660
1	2	4	0.0175	0.0637	0.0281	0.1027	0.0649	0.2367	0.1046	0.3818
1	2	5	0.0170	0.0641	0.0275	0.1034	0.0633	0.2383	0.1021	0.3843
1	2	6	0.0108	0.0703	0.0175	0.1134	0.0402	0.2614	0.0649	0.4215
1	2	7	0.0242	0.0569	0.0391	0.0918	0.0901	0.2115	0.1453	0.3411
1	2	8	0.0218	0.0593	0.0352	0.0957	0.0811	0.2205	0.1308	0.3556
1	2	9	0.0218	0.0593	0.0351	0.0957	0.0810	0.2206	0.1306	0.3558
1	2	10	0.0167	0.0644	0.0270	0.1038	0.0623	0.2394	0.1004	0.3860
1	2	11	0.0192	0.0620	0.0309	0.0999	0.0712	0.2304	0.1148	0.3716
1	2	12	0.0312	0.0499	0.0503	0.0805	0.1161	0.1856	0.1872	0.2992
1	2	13	0.0130	0.0681	0.0210	0.1098	0.0484	0.2532	0.0781	0.4083
1	2	14	0.0239	0.0573	0.0385	0.0924	0.0887	0.2129	0.1431	0.3434
1	2	15	0.0161	0.0651	0.0259	0.1049	0.0597	0.2419	0.0963	0.3901
