cycle_1_lane	cycle_2_lane	cycle_3_lane	tag_imbalance
1	1	1	1.3478770980121777
1	1	2	1.2589753107114523
1	1	3	1.5309307781628838
1	1	4	1.5834318336554378
1	1	5	1.402828202761051
1	1	6	1.1707735374839612
1	1	7	1.5400309611149265
1	1	8	1.292575986226687
1	1	9	1.3503271472684968
1	1	10	1.4430790119720094
1	1	11	1.584131847728672
1	1	12	1.1581732841657482
1	1	13	1.6334828398916732
1	1	14	0.7318647135662071
1	1	15	1.4724796030478398
1	1	16	1.3048262325082831
1	1	17	1.523230623357309
1	1	18	1.4920799970983933
1	1	19	1.6299827695255031
1	1	20	1.403528216834285
1	2	1	1.3386450630942857
1	2	2	1.2503521921449354
1	2	3	1.5204449509151925
1	2	4	1.5725864101372498
1	2	5	1.3932197904133725
1	2	6	1.162754540651879
1	2	7	1.5294828038470158
1	2	8	1.283722726047052
1	2	9	1.3410783311913153
1	2	10	1.4331949091502831
1	2	11	1.573281629593544
1	2	12	1.1502405904385853
1	2	13	1.6222946012622779
1	2	14	0.7268519415554795
1	2	15	1.4623941263146352
1	2	16	1.2958890665321987
1	2	17	1.5127975368959574
1	2	18	1.48186027109087
1	2	19	1.6188185039808076
1	2	20	1.3939150098696667
1	3	1	0.8233296594956078
1	3	2	0.7690253921593616
1	3	3	0.9351451390895322
1	3	4	0.9672145883038509
1	3	5	0.8568956830065946
1	3	6	0.7151487174793062
1	3	7	0.940703843620014
1	3	8	0.7895498396565255
1	3	9	0.824826233792276
1	3	10	0.8814822607375723
1	3	11	0.9676421809600418
1	3	12	0.7074520496678698
1	3	13	0.9977874632215012
1	3	14	0.44704812204760214
1	3	15	0.8994411522975908
1	3	16	0.7970327111398665
1	3	17	0.9304416198714323
1	3	18	0.9114137466709363
1	3	19	0.9956494999405469
1	3	20	0.8573232756627857
1	4	1	1.2684256459915342
1	4	2	1.1847642297147623
1	4	3	1.4406891133645732
1	4	4	1.4900954615595174
1	4	5	1.3201376237689093
1	4	6	1.101761564747256
1	4	7	1.4492528803850304
1	4	8	1.2163842925595267
1	4	9	1.2707312755739653
1	4	10	1.3580158240517
1	4	11	1.4907542128687832
1	4	12	1.0899040411804695
1	4	13	1.5371961801720309
1	4	14	0.6887244938375224
1	4	15	1.3856833790408687
1	4	16	1.2279124404716801
1	4	17	1.433442848962648
1	4	18	1.4041284157003144
1	4	19	1.5339024236257015
1	4	20	1.3207963750781753
1	5	1	1.450268758010612
1	5	2	1.3546135348128205
1	5	3	1.6472281349100018
1	5	4	1.7037174399480677
1	5	5	1.509394230617121
1	5	6	1.2597115023488699
1	5	7	1.6570196144499334
1	5	8	1.3907666900371825
1	5	9	1.4529049255790552
1	5	10	1.5527026978129714
1	5	11	1.7044706306819088
1	5	12	1.246154069139734
1	5	13	1.7575705774176904
1	5	14	0.7874609122306386
1	5	15	1.5843367086342885
1	5	16	1.403947527879398
1	5	17	1.6389430368377522
1	5	18	1.605426049181833
1	5	19	1.7538046237484863
1	5	20	1.5101474213509618
1	6	1	1.2334558167570964
1	6	2	1.1521009018112895
1	6	3	1.4009700707596835
1	6	4	1.4490143118694119
1	6	5	1.2837421224519456
1	6	6	1.0713865767469457
1	6	7	1.409297739218703
1	6	8	1.1828492161215158
1	6	9	1.2356978813422173
1	6	10	1.320576040636071
1	6	11	1.4496549017508749
1	6	12	1.059855958880611
1	6	13	1.4948164883940196
1	6	14	0.6697367210696153
1	6	15	1.3474808156575189
1	6	16	1.1940595390471191
1	6	17	1.3939235820635898
1	6	18	1.365417332338484
1	6	19	1.4916135389867042
1	6	20	1.2843827123334088
1	7	1	1.203801401566293
