cycle	lane	imbalance_factor
1	1	0.0517
1	2	0.0439
1	3	0.0452
1	4	0.0460
1	5	0.0384
1	6	0.0446
1	7	0.0761
1	8	0.0396
1	9	0.0664
1	10	0.0417
1	11	0.0472
1	12	0.0489
1	13	0.0589
1	14	0.0496
1	15	0.0506
1	16	0.0572
1	17	0.0395
1	18	0.0497
1	19	0.0588
1	20	0.0461
2	1	0.0419
2	2	0.0471
2	3	0.0544
2	4	0.0433
2	5	0.0584
2	6	0.0442
2	7	0.0476
2	8	0.0521
2	9	0.0545
2	10	0.0629
2	11	0.0567
2	12	0.0562
2	13	0.0489
2	14	0.0275
2	15	0.0465
2	16	0.0577
2	17	0.0572
2	18	0.0408
2	19	0.0532
2	20	0.0489
3	1	0.0707
3	2	0.0379
3	3	0.0495
3	4	0.0814
3	5	0.0559
3	6	0.0284
3	7	0.0395
3	8	0.0575
3	9	0.0499
3	10	0.0550
3	11	0.0545
3	12	0.0492
3	13	0.0409
3	14	0.0290
3	15	0.0493
3	16	0.0609
3	17	0.0439
3	18	0.0560
3	19	0.0515
3	20	0.0391
