cycle_1_lane	cycle_2_lane	cycle_3_lane	log10_K	survival_rate
1	1	1	3.022348729695384	1.1632557982052806e-09
1	1	2	2.272189620320894	6.5512632225688345e-12
1	1	3	3.1355660714511124	2.540500108590471e-09
1	1	4	3.1533486940242805	2.8720552070309395e-09
1	1	5	2.0568050781610707	1.4800171515358666e-12
1	1	6	2.5338699700488503	3.991761271683168e-11
1	1	7	3.208809083360253	4.210384024812919e-09
1	1	8	4.830992888764715	0.0002555959765156896
1	1	9	3.574227475583963	5.221599430305664e-08
1	1	10	2.3366259403829974	1.0223392104929124e-11
1	1	11	3.9976733849392394	9.552674019168911e-07
1	1	12	3.641831307195959	8.313713961026106e-08
1	1	13	3.0171288179430595	1.1221007729799033e-09
1	1	14	4.009839564766839	1.0381473655225258e-06
1	1	15	2.2666283344480704	6.304407739798502e-12
1	1	16	3.0563068059902387	1.470408546780226e-09
1	1	17	2.6226463384040857	7.368730580788309e-11
1	1	18	3.197268248126755	3.888251742646061e-09
1	1	19	3.1259855911002106	2.378025818993764e-09
1	1	20	2.1690826164550856	3.214071690919378e-12
1	2	1	2.6353248761267625	8.042889648186283e-11
1	2	2	3.7922111097969164	2.336596532239498e-07
1	2	3	3.7191072587041427	1.414216806605535e-07
1	2	4	2.041007972472335	1.3270299816322435e-12
1	2	5	6.807850177528181	0.6479190471848456
1	2	6	2.0919319606134295	1.8864047767347844e-12
1	2	7	3.7631180888433198	1.9134835457013466e-07
1	2	8	4.070156262266822	1.5676352556714268e-06
1	2	9	2.4523912898459814	2.2740745190008586e-11
1	2	10	4.525375116164772	3.413200289032562e-05
1	2	11	3.353902182877431	1.1448978749566064e-08
1	2	12	3.774301910242167	2.0662380787715873e-07
1	2	13	3.8562894774683896	3.626967154102777e-07
1	2	14	2.100704883479363	2.0042429796638867e-12
1	2	15	2.4467876688195696	2.187754375201648e-11
1	2	16	4.257411818084389	5.608908625611187e-06
1	2	17	4.600630183614206	5.6357958107213714e-05
1	2	18	2.236473035581756	5.1191109475748265e-12
1	2	19	3.679711504571844	1.0787418288351414e-07
1	2	20	3.0531835189696235	1.4390595766286285e-09
1	3	1	3.6230225672299676	7.304826320315529e-08
1	3	2	2.5802732357063447	5.499511913172322e-11
1	3	3	2.7841756999873	2.2476810874917204e-10
1	3	4	2.41421882505291	1.7471023881310108e-11
1	3	5	3.432448262795897	1.9670842987290937e-08
1	3	6	5.38930181931306	0.0076263592755386675
1	3	7	3.2234017354963784	4.656158715326772e-09
1	3	8	4.771649728508418	0.000173831252771167
1	3	9	3.3288756070833236	9.634994394311593e-09
1	3	10	2.1943246750631715	3.826222567516761e-12
1	3	11	2.657123926542161	9.349326187505776e-11
1	3	12	3.659307317103912	9.375396460965608e-08
1	3	13	3.0220964903793686	1.1612328247321231e-09
1	3	14	2.8259169165913756	2.998323076105337e-10
1	3	15	2.9684965324726797	8.021922113881955e-10
1	3	16	5.662270993019918	0.031204296627530187
1	3	17	3.4388140055243204	2.0552670964731143e-08
1	3	18	3.216504142570085	4.4398600232856814e-09
