cycle_1_lane	cycle_2_lane	cycle_3_lane	log10_association_const	survival_rate
0	0	0	2.622175126935593	7.34479427468514e-11
0	0	1	2.060118302556328	1.5142768551956552e-12
0	0	2	5.189159540967029	0.0023999601284313134
0	0	3	3.3790096322960053	1.3611761843254287e-08
0	0	4	3.33081692008969	9.764791732626017e-09
0	0	5	2.280405999668697	6.933771590195602e-12
0	0	6	3.739011671866595	1.6214774989519073e-07
0	0	7	2.111973887279393	2.1664719190383115e-12
0	0	8	2.0430751458613576	1.3461131661825726e-12
0	0	9	3.276780411411263	6.727896547583078e-09
0	0	10	3.2362413442755664	5.087229414361425e-09
0	0	11	2.1035084468555674	2.0434310928575068e-12
0	0	12	2.9631685581223373	7.7323103882681e-10
0	0	13	6.133626176699753	0.19142190947408846
0	0	14	3.503456042585459	3.207906752661606e-08
0	0	15	2.000913492006132	1.006027656256048e-12
0	0	16	2.5887250310494876	5.830016669858593e-11
0	0	17	3.159089198168286	2.988062343226694e-09
0	0	18	2.2823847361601635	7.029179052201167e-12
0	0	19	2.491270619023691	2.974459845702421e-11
0	0	20	2.025509589633451	1.1923138966800878e-12
0	1	0	2.988368855133933	9.201078360145371e-10
0	1	1	3.5292115719899817	3.8303231436504896e-08
0	1	2	3.520705791598517	3.612461735689975e-08
0	1	3	4.482822958501649	2.5671769577305052e-05
0	1	4	2.4332572643682346	1.9925926562792285e-11
0	1	5	3.504805854393249	3.2378616242601385e-08
0	1	6	3.8767647431013628	4.1736972937534334e-07
0	1	7	4.682803099841234	9.70756877129218e-05
0	1	8	4.152946967225871	2.7570357518310874e-06
0	1	9	2.0473834680009952	1.3867721275300948e-12
0	1	10	4.091966501430411	1.8192671441497973e-06
0	1	11	2.7559693138160726	1.849972821106097e-10
0	1	12	2.271784636801089	6.532964916377687e-12
0	1	13	2.33477490956506	1.0093531160824843e-11
0	1	14	2.7118290400602767	1.3640059797157074e-10
0	1	15	3.266702591062096	6.276279318697831e-09
0	1	16	3.013439010169747	1.0938906048684205e-09
0	1	17	7.014961590770496	0.7582965481274441
0	1	18	5.578977297942268	0.020795063914155122
0	1	19	2.643374848236635	8.50259522954898e-11
0	1	20	3.854109267540128	3.5731357923902785e-07
0	2	0	4.048137901839475	1.3487714630619118e-06
0	2	1	2.874177664728211	4.183677336325762e-10
0	2	2	3.9469277988227702	6.750003664999791e-07
0	2	3	4.346404107333404	1.0247109107938266e-05
0	2	4	3.242909712597706	5.326620509711971e-09
0	2	5	3.045837081612409	1.3679308222177146e-09
0	2	6	2.616301943300809	7.052894931827977e-11
0	2	7	5.390908513908041	0.007694619794416594
0	2	8	3.0575756632868485	1.483338453550095e-09
0	2	9	2.8344190041120143	3.1795631145042197e-10
0	2	10	2.785465200277099	2.2677795602212954e-10
0	2	11	2.227269916742317	4.8038550422637275e-12
0	2	12	5.723334865547223	0.041391152400893964
0	2	13	7.386128145789643	0.8861742036333419
0	2	14	2.7018747253162982	1.2734107961155417e-10
0	2	15	2.1260139895543517	2.3870847147919283e-12
0	2	16	5.694054229936214	0.03620646820729027
0	2	17	2.4851022030549523	2.8504180250911475e-11
0	2	18	2.117924267891038	2.257365484600682e-12
0	2	19	4.9390760196168015	0.0005112646921910052
0	2	20	2.5470332573854595	4.3716030440932136e-11
0	3	0	3.4614586173287063	2.4022107064211436e-08
0	3	1	3.3732953311937326	1.3086156278383659e-08
0	3	2	2.5628842863893206	4.8772694089588586e-11
0	3	3	3.6390378274245343	8.155509505405086e-08
0	3	4	2.3446042672570635	1.0802511959364843e-11
0	3	5	2.868966614536876	4.0358652203349667e-10
0	3	6	3.2730648117975916	6.557728911933856e-09
0	3	7	2.0719473143478186	1.6431915341838518e-12
0	3	8	3.4771493509326765	2.6763629037087852e-08
0	3	9	5.4478494842398435	0.010506655572506697
0	3	10	2.369446280035869	1.2824305029672857e-11
0	3	11	5.799248576722207	0.05771511339308789
0	3	12	2.091446742342718	1.880093346187566e-12
0	3	13	2.0864295324039324	1.8160576446227623e-12
0	3	14	2.06324071659193	1.5472890319642287e-12
0	3	15	2.837732981741002	3.253138634818975e-10
0	3	16	2.36563144841693	1.2490850531146375e-11
0	3	17	2.2842268270975725	7.119177448945056e-12
0	3	18	2.7685204070688867	2.0174224998814336e-10
0	3	19	6.398411984295909	0.36477098549354453
0	3	20	2.1207543746125843	2.301924541628981e-12
0	4	0	2.886404462942658	4.5520890958701966e-10
0	4	1	4.565838889902838	4.471288110884652e-05
0	4	2	2.1230939481235382	2.3394236413349703e-12
0	4	3	2.2220071115928706	4.6323794511238846e-12
0	4	4	2.723566454442853	1.4791429383687178e-10
0	4	5	3.8964179515658413	4.775621644253585e-07
0	4	6	3.677969694985631	1.0659011128334361e-07
0	4	7	2.856049990253858	3.6916030520143875e-10
0	4	8	2.3704908253757626	1.2917151133060982e-11
0	4	9	2.746267514174805	1.7301204899779584e-10
0	4	10	4.714469492201728	0.0001195606669463378
0	4	11	4.213526964157551	4.163423350447855e-06
0	4	12	4.227633546995404	4.582247227820432e-06
0	4	13	3.229826104940795	4.8670797469647555e-09
0	4	14	4.41835903270005	1.664855879786215e-05
0	4	15	2.7056291620521935	1.306851216889028e-10
0	4	16	5.514015956602538	0.014922035065630305
0	4	17	2.971550256096603	8.192775788511543e-10
0	4	18	2.9352512386912633	6.377225524023323e-10
0	4	19	3.1289288819988323	2.426803499204872e-09
0	4	20	3.2885392686563755	7.296059598164468e-09
0	5	0	2.950312194547609	7.075792203819515e-10
0	5	1	2.7575349172907613	1.8700769504146556e-10
0	5	2	3.716719210204585	1.3911984079191892e-07
0	5	3	3.871619111151915	4.0290136552868675e-07
0	5	4	2.8243184812397812	2.9654207684632946e-10
0	5	5	2.081512813392452	1.7554208889753557e-12
0	5	6	4.4616729458860345	2.2275833619589362e-05
0	5	7	3.3405239124254775	1.0440493304127793e-08
0	5	8	2.5690795225900867	5.0904434249896505e-11
0	5	9	2.5326969912722603	3.959559057977293e-11
0	5	10	2.238517854246498	5.1919193601351e-12
0	5	11	2.754186522585401	1.8273427545236108e-10
0	5	12	2.682477743775253	1.1137974392627345e-10
0	5	13	4.425497613768589	1.746791810343545e-05
0	5	14	2.0475261185105094	1.3881391665253677e-12
0	5	15	3.2027162121862918	4.0371269422135305e-09
0	5	16	3.36494428824367	1.2354280256065548e-08
0	5	17	2.607291789545304	6.627473591510705e-11
0	5	18	2.6467228716267295	8.701440226679103e-11
0	5	19	3.6482625336404397	8.689682867445606e-08
0	5	20	4.374989364135883	1.2428915584247934e-05
0	6	0	4.446751094661571	2.0151490608751684e-05
0	6	1	2.53206852518195	3.9424125518765146e-11
0	6	2	2.813472228289829	2.751496697939058e-10
0	6	3	2.603448666683253	6.453915611496585e-11
0	6	4	2.489606140554885	2.9404663868928535e-11
0	6	5	4.027827139932251	1.173988855412906e-06
0	6	6	2.5481996599618153	4.406955783410259e-11
0	6	7	2.514627865281479	3.4950834052186304e-11
0	6	8	2.814202221405908	2.7653973969572346e-10
0	6	9	3.2621168700192134	6.080934746818534e-09
0	6	10	4.042405158925977	1.296966993196772e-06
0	6	11	3.3804023429977406	1.3743029606650746e-08
0	6	12	4.164933579875074	2.9915142742666476e-06
0	6	13	5.784837172639927	0.05427423056417383
0	6	14	2.0083284781153115	1.0588943477880906e-12
0	6	15	4.294676404534292	7.221040341189247e-06
0	6	16	4.054453746307788	1.4082347053904482e-06
0	6	17	2.5766389063845057	5.363215998708032e-11
0	6	18	2.9829691168045227	8.864518948791575e-10
0	6	19	2.4212865303240902	1.8344924400115964e-11
0	6	20	3.658783122426961	9.341663034360182e-08
0	7	0	4.598419851817084	5.553641804891807e-05
0	7	1	2.8059879248499273	2.6129467805285085e-10
0	7	2	2.3364924464601553	1.0213971061161458e-11
0	7	3	2.127085211624461	2.4048116549440402e-12
0	7	4	2.6674619592401028	1.0041073941091918e-10
0	7	5	3.5634278234880017	4.8475712926956783e-08
0	7	6	3.2939937707146516	7.57565069881604e-09
0	7	7	2.300724180824724	7.978333298953696e-12
0	7	8	4.57069533522731	4.61829936682608e-05
0	7	9	2.2249316273976913	4.726897732893747e-12
0	7	10	3.0992167776543784	1.977033749686976e-09
0	7	11	2.2282352950384756	4.835991620154955e-12
0	7	12	5.5457103065137225	0.017573186132136282
0	7	13	2.429104745091196	1.9362629205227708e-11
0	7	14	2.327717897742059	9.613391543140846e-12
0	7	15	2.3434073597610605	1.0713585157354102e-11
0	7	16	2.125317792439065	2.3756339298607785e-12
0	7	17	2.8376397194130183	3.2510449696989776e-10
0	7	18	2.3185858629732405	9.025812163439659e-12
0	7	19	3.6459181509082508	8.550703497116943e-08
0	7	20	2.4803316911479873	2.7580451269960143e-11
0	8	0	3.2381812050907524	5.155738411486488e-09
0	8	1	4.49766354975708	2.8355818266934993e-05
0	8	2	2.1691523356729725	3.2156197426720755e-12
0	8	3	2.271969897101463	6.5413291525911835e-12
0	8	4	2.953912183416312	7.253796594208855e-10
0	8	5	2.7884173114208934	2.3144710395225704e-10
0	8	6	2.4407732402104543	2.0987479592041976e-11
0	8	7	3.678263950343979	1.0680596167872311e-07
0	8	8	2.8594304149838043	3.778757021970274e-10
0	8	9	2.7282571009067222	1.5278284805727707e-10
0	8	10	2.683296085916308	1.1201084129848813e-10
0	8	11	3.3024836829797115	8.032286025501744e-09
0	8	12	2.3600117563695093	1.2015360950220859e-11
0	8	13	2.6051253798577356	6.529071136209858e-11
0	8	14	3.352046120983475	1.1303451797779743e-08
0	8	15	2.367464293669923	1.2649963394438386e-11
0	8	16	2.498152613536017	3.1192317739438907e-11
0	8	17	2.601561117212786	6.370344228259044e-11
0	8	18	2.0322498142315135	1.2491342564579957e-12
0	8	19	2.0449849017146664	1.3639869199130805e-12
0	8	20	2.1795820543822324	3.4558045200384217e-12
0	9	0	3.807913268196007	2.6025242626473266e-07
0	9	1	4.150423263341172	2.710049015109669e-06
0	9	2	4.060261320890494	1.465214414964257e-06
0	9	3	3.544216724867441	4.247139130948099e-08
0	9	4	2.1439793444065725	2.702442998936614e-12
0	9	5	3.4133218372354364	1.724230149971612e-08
0	9	6	2.866508810525678	3.9679727034597083e-10
0	9	7	3.2110644607809564	4.276385885173477e-09
0	9	8	2.370303779352631	1.2900475981096067e-11
0	9	9	4.624047910426086	6.583304133353843e-05
0	9	10	3.1644136744573745	3.099844687521512e-09
0	9	11	2.4202059751216356	1.8208539585499822e-11
0	9	12	2.35463180612723	1.1577122935493202e-11
0	9	13	3.131442039123638	2.469243520077599e-09
0	9	14	2.9452964341565373	6.835040948650833e-10
0	9	15	2.7569473266131372	1.8625061381633526e-10
0	9	16	5.941601667494965	0.10147755249563145
0	9	17	3.9975676648836767	9.545769007822065e-07
0	9	18	4.4583672170408235	2.1786867353609804e-05
0	9	19	3.0221672950477405	1.1618003268413286e-09
0	9	20	2.5214082806839255	3.662621896297269e-11
0	10	0	2.375094443948747	1.3334426410091607e-11
0	10	1	2.4829318170376133	2.8080147299910476e-11
0	10	2	3.7491615942649883	1.7385720993337423e-07
0	10	3	5.231631040062494	0.003089012407198896
0	10	4	4.559700118241139	4.292057743369415e-05
0	10	5	2.0477001545768725	1.3898088025335597e-12
0	10	6	2.567355877847409	5.030215527171264e-11
0	10	7	3.0952300968964983	1.923397215997394e-09
0	10	8	2.9326077391190415	6.26192818193172e-10
0	10	9	3.8267253401808454	2.9611664232576197e-07
0	10	10	2.7577537085303656	1.8729038208425551e-10
0	10	11	3.239896993413493	5.21710201971876e-09
0	10	12	2.7812279772043853	2.202403464444622e-10
0	10	13	3.345180403930724	1.0781018664303749e-08
0	10	14	3.5271160808776085	3.77546180845251e-08
0	10	15	2.6112600204744343	6.811579957799323e-11
0	10	16	2.1788507242409327	3.4383929631071776e-12
0	10	17	3.3892337812018334	1.4605374142482546e-08
0	10	18	2.622898119584075	7.381552359840925e-11
0	10	19	2.178454336054372	3.4289924128819863e-12
0	10	20	3.5269788232594705	3.771895826453787e-08
0	11	0	2.1338103976373684	2.5191492701261563e-12
0	11	1	3.5011075939866823	3.156448557004855e-08
0	11	2	2.9560011768918812	7.359133970568583e-10
0	11	3	2.022440826050169	1.1673075320375708e-12
0	11	4	2.068415521771627	1.60359264717037e-12
0	11	5	2.639790881736085	8.294769339967118e-11
0	11	6	2.673441403750769	1.0464298109656873e-10
0	11	7	4.303313674674033	7.656068805773663e-06
0	11	8	3.606506345922454	6.52025354272415e-08
0	11	9	3.254858632254993	5.784090034805996e-09
0	11	10	5.16049169440822	0.0020201855038705593
0	11	11	3.7462263893369183	1.7038684938582524e-07
0	11	12	2.6329250771428345	7.91071634340045e-11
0	11	13	3.0816142390007357	1.7509406336213161e-09
0	11	14	4.148865349979025	2.6814422742569234e-06
0	11	15	3.869767043240397	3.978171356295463e-07
0	11	16	3.3147767053804555	8.742654622617052e-09
0	11	17	2.1044572820304097	2.056866672000834e-12
0	11	18	2.0740380674517827	1.6670925324085082e-12
0	11	19	2.4159768712615626	1.76844323764567e-11
0	11	20	2.8721678731974123	4.1260387931217323e-10
0	12	0	5.224074445154971	0.0029541122900911963
0	12	1	3.542618409853699	4.2006668737180364e-08
0	12	2	2.3693295716509892	1.2813972749395531e-11
0	12	3	2.3797274701093514	1.3767976113735597e-11
